Designator,Mid X,Mid Y,Rotation,Layer
C1,113.049999,-135.5,0.0,top
C2,178.55,-135.5,180.0,top
J1,190.05,-101.42,270.0,top
J2,102.1,-102.5,90.0,top
J3,130.05,-60.95,180.0,top
J4,161.05,-148.95,180.0,top
J5,178.05,-149.05,0.0,top
J6,117.05,-60.95,180.0,top
J7,102.0,-130.0,270.0,top
J8,189.5,-130.0,270.0,top
J9,147.05,-60.95,180.0,top
Q1,183.1,-101.42,90.0,top
Q10,132.13,-83.0,180.0,top
Q11,132.13,-105.865,180.0,top
Q12,132.13,-95.0,180.0,top
Q13,147.63,-83.0,0.0,top
Q14,147.63,-105.865,0.0,top
Q15,147.63,-95.0,0.0,top
Q2,108.995,-101.42,270.0,top
Q3,132.13,-125.58,180.0,top
Q4,162.01,-141.455,0.0,top
Q5,132.09,-148.445,0.0,top
Q6,132.09,-137.58,180.0,top
Q7,146.55,-125.58,0.0,top
Q8,146.55,-148.445,180.0,top
Q9,146.55,-137.58,0.0,top
R1,115.05,-101.42,270.0,top
R10,146.55,-131.635,180.0,top
R11,113.05,-125.0,0.0,top
R12,132.13,-77.555,0.0,top
R13,132.13,-89.055,180.0,top
R14,132.13,-100.92,180.0,top
R15,178.55,-125.0,180.0,top
R16,178.55,-131.0,180.0,top
R17,147.63,-77.555,0.0,top
R18,147.63,-100.92,0.0,top
R19,147.63,-89.055,180.0,top
R2,177.1,-101.42,90.0,top
R3,162.01,-135.4,0.0,top
R4,113.05,-131.0,0.0,top
R5,132.13,-120.135,0.0,top
R6,132.13,-131.635,180.0,top
R7,132.09,-143.5,180.0,top
R8,146.55,-120.135,0.0,top
R9,146.55,-143.5,0.0,top
